label,R,G,B,correlation 0,correlation 45,correlation 90,correlation 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,contrast 0,contrast 45,contrast 90,contrast 135
1,172.6944135802469,163.7558153292181,110.37296124828532,0.9966760879235907,0.9981756599969693,0.9972623248754804,0.9982762934711118,0.4578878866543498,0.5383904773609123,0.48441785165942475,0.5374673862694348,1.6991840170412729,1.2633183335752232,1.561866969009909,1.2561050504148072,6.691350580637074,3.673796920053436,5.515002061431053,3.471144720036495
1,158.78905949931413,155.15979166666668,93.64138545953361,0.9980409127513543,0.9986783275419641,0.9975201311314125,0.9986160915180353,0.6764581955163955,0.7094094457213124,0.6325750247165589,0.7127054702301948,0.7768037518037672,0.6562885175835548,0.8992561671133499,0.6548266209487501,1.7120610870611164,1.154930980784896,2.166902013330681,1.2093149098854916
1,160.31403120713307,156.3668158436214,100.33309756515774,0.9981055827771,0.9988348512398281,0.998335578102721,0.9989143671758085,0.7023931775237119,0.762356507466223,0.718198952927322,0.7621860638538329,0.6830610527039293,0.5191115928746696,0.643147461004611,0.5142629404049511,1.2963332302618369,0.7974113607062407,1.1392891500034494,0.7429922155292545
1,160.3150497256516,156.36530092592594,100.3308316186557,0.9983509836995113,0.9989116186868742,0.9980895784479413,0.9988338202724009,0.7215297508389648,0.7617140023828681,0.7001477891502795,0.7622999419553058,0.6358895073180864,0.5153666637749391,0.6885882635882828,0.5193203125469691,1.1288291074005494,0.744927381873682,1.3073816395245264,0.79817494831396
1,185.71711762688614,179.76445644718794,169.69995713305897,0.9951388348016775,0.9945288424332808,0.991506729724167,0.9946411540593108,0.6101688118607815,0.5963349427491447,0.5279277338069823,0.5922816971243672,0.932583487940643,0.9887325734104833,1.240242561671146,0.9990500248659785,1.952014189514221,2.1976644010990785,3.4127001305573135,2.152551748306398
1,185.68630658436214,179.7384799382716,169.6721870713306,0.991581976653693,0.9946215877642961,0.9951826884220626,0.9945056213210287,0.5302437066421427,0.5893514512864034,0.6078091951346736,0.5935535619525789,1.2320415034700918,1.0055203347073258,0.934488593417179,0.9950594421601655,3.3877911770769438,2.163825187396761,1.9374433106576274,2.210479617192651
1,174.92813014403293,166.46297582304527,115.34015603566529,0.9965238358131194,0.9981674468248715,0.9972308966647118,0.9981925135637248,0.4522538201376775,0.5297689013047294,0.47688178884224935,0.5317453284443201,1.7413823610253616,1.2946099647752853,1.598068267711234,1.2835881917918524,7.289460076961046,3.8440271387108584,5.810455747956296,3.791446959864738
1,174.93233796296298,166.4633616255144,115.33765346364883,0.9972348505376689,0.9981895785974841,0.9965134238678055,0.998164914430549,0.47762781171488633,0.5312004376702064,0.451453830503513,0.5300679218736013,1.5954528275957955,1.285267397385884,1.7453772418059634,1.2947345094357137,5.803245035388465,3.798302069760367,7.3126348519215,3.8500473699172937
1,156.77776406035665,151.25157407407409,105.99267918381344,0.9981749764777188,0.9989697140115434,0.9985525071012998,0.9989696480600372,0.7222736675457397,0.7828883059102031,0.7416406154047992,0.7814283039396498,0.6332835154263938,0.4696269930366638,0.5799534460248856,0.47234550234873857,1.2478956228956606,0.7046745476237277,0.9903241599670313,0.704720070844436
1,156.7771450617284,151.2521064814815,105.99614626200274,0.9985652730375368,0.9989682175583492,0.9981603016707605,0.9989681428529703,0.7449312493900997,0.7811045520454228,0.7195704779350091,0.782601160855469,0.5730201676630359,0.47302835065935417,0.6393750429464963,0.4702462806240278,0.9815338761767464,0.705655444190676,1.2578557685700942,0.7057061209835365
